,Torreâ€˜s SYSTEM,,,,
,P,R,F1,NUM,NODE
1,0.002107482,1,0.004206099,42,CONTROLLER
2,0.006322445,0.857142857,0.012552301,62,CONTROLLER.IDENTITY
3,0,0,0,3,CONTROLLER.IDENTITY.REGISTER NUMBER
4,0.053022269,0.909090909,0.100200401,443,CONTROLLER.CONTACT
5,0,0,0,0,CONTROLLER.CONTACT.PHONE NUMBER
6,0,0,0,0,CONTROLLER.CONTACT.E-MAIL
7,0,0,0,0,CONTROLLER.CONTACT.LEGAL ADDRESS
8,0,0,0,5,CONTROLLER REPRESENTATIVE
9,0.002079002,1,0.004149378,4,CONTROLLER REPRESENTATIVE.IDENTITY
10,0,0,0,0,CONTROLLER REPRESENTATIVE.REGISTER NUMBER
11,0.001230012,0.5,0.002453988,26,CONTROLLER REPRESENTATIVE.CONTACT
12,0,0,0,0,CONTROLLER REPRESENTATIVE.CONTACT.PHONE NUMBER
13,0,0,0,0,CONTROLLER REPRESENTATIVE.CONTACT.E-MAIL
14,0,0,0,0,CONTROLLER REPRESENTATIVE.CONTACT.LEGAL ADDRESS
15,0,0,0,9,DPO
16,0,0,0,1,DPO.IDENTITY
17,0,0,0,0,DPO.IDENTITY.REGISTER NUMBER
18,0.013498313,0.857142857,0.026578073,94,DPO.CONTACT
19,0,0,0,0,DPO.CONTACT.PHONE NUMBER
20,0,0,0,0,DPO.CONTACT.E-MAIL
21,0,0,0,0,DPO.CONTACT.LEGAL ADDRESS
22,0.041666667,0.930232558,0.079760718,273,DATA SUBJECT RIGHT
23,0.065625,0.851351351,0.121856867,0,DATA SUBJECT RIGHT.INFORMATION
24,0.023182297,0.846153846,0.045128205,164,DATA SUBJECT RIGHT.INFORMATION.POLICY CHANGE
25,0,0,0,16,DATA SUBJECT RIGHT.INFORMATION.DATA BREACH NOTIFICATION
26,0.053333333,0.928571429,0.100872939,373,DATA SUBJECT RIGHT.INFORMATION.OTHERS
27,0.032291667,0.96875,0.0625,243,DATA SUBJECT RIGHT.ACCESS
28,0.045833333,0.916666667,0.087301587,414,DATA SUBJECT RIGHT.RECTIFICATION
29,0.054166667,0.945454545,0.102463054,350,DATA SUBJECT RIGHT.RESTRICTION
30,0.01875,0.947368421,0.036772217,141,DATA SUBJECT RIGHT.ERASURE
31,0.034375,0.942857143,0.066331658,226,DATA SUBJECT RIGHT.OBJECT
32,0.01875,0.947368421,0.036772217,103,DATA SUBJECT RIGHT.PORTABILITY
33,0.00209205,0.666666667,0.004171011,27,DATA SUBJECT RIGHT.AUTO DECISION MAKING
34,0.057291667,0.873015873,0.107526882,519,DATA SUBJECT RIGHT.WITHDRAW CONSENT
35,0,0,0,9,DP PRINCIPLE
36,0,0,0,7,DP PRINCIPLE.PURPOSE LIMITATION
37,0,0,0,3,DP PRINCIPLE.DATA MINIMIZATION
38,0.034090909,0.846153846,0.065541212,342,USER CHOICE
39,0.023157895,0.916666667,0.045174538,165,COMPLAINT
40,0,0,0,1,COMPLAINT.SA
41,0.245918367,0.930501931,0.389023406,1676,PD CATEGORY
42,0.001036269,1,0.002070393,19,PD CATEGORY.TYPE
43,0,0,0,0,PD CATEGORY.TYPE.THIRD-PARTY
44,0,0,0,0,PD CATEGORY.TYPE.PUBLICLY
45,0,0,0,1,PD CATEGORY.SPECIAL
46,0,0,0,2,PD CATEGORY.SPECIAL.CONDITION
47,0.056994819,0.901639344,0.107212476,442,PD ORIGIN
48,0.079875519,0.916666667,0.146946565,487,PD ORIGIN.DIRECT ACTIVE
49,0.086099585,0.892473118,0.15704825,627,PD ORIGIN.DIRECT PASSIVE
50,0.046632124,0.97826087,0.089020772,8,PD ORIGIN.INDIRECT
51,0,0,0,305,PD ORIGIN.DIRECT PASSIVE.COOKIE
52,0,0,0,5,PD ORIGIN.INDIRECT.THIRD-PARTY
53,0,0,0,0,PD ORIGIN.INDIRECT.PUBLICLY
54,0.024058577,0.821428571,0.046747967,234,LAWFUL BASIS
55,0.016411379,0.789473684,0.032154341,159,LAWFUL BASIS.CONTRACT
56,0,0,0,0,LAWFUL BASIS.CONTRACT.CONTRACTUAL
57,0,0,0,0,LAWFUL BASIS.CONTRACT.TO ENTER CONTRACT
58,0,0,0,0,LAWFUL BASIS.CONTRACT.STATUTORY
59,0.004201681,0.666666667,0.008350731,20,LAWFUL BASIS.PUBLIC FUNCTION
60,0.037656904,0.947368421,0.072434608,227,LAWFUL BASIS.LEGITIMATE INTEREST
61,0.00524109,0.833333333,0.010416667,18,LAWFUL BASIS.VITAL INTEREST
62,0.013598326,0.764705882,0.02672148,123,LAWFUL BASIS.CONSENT
63,0.025104603,0.96,0.048929664,169,LAWFUL BASIS.LEGAL OBLIGATION
64,0.240951396,0.924603175,0.382280558,1682,PROCESSING PURPOSES
65,0.053333333,0.928571429,0.100872939,407,PD SECURITY
66,0.001030928,1,0.002059732,6,PD PROVISION OBLIGED
67,0.024033438,1,0.046938776,160,TRANSFER OUTSIDE EUROPE
68,0,0,0,0,TRANSFER OUTSIDE EUROPE.SPECIFIC DEROGATION
69,0,0,0,1,TRANSFER OUTSIDE EUROPE.SPECIFIC DEROGATION.UNAMBIGUOUS CONSENT
70,0,0,0,0,TRANSFER OUTSIDE EUROPE.SPECIFIC DEROGATION.CONTRACT
71,0,0,0,6,TRANSFER OUTSIDE EUROPE.SPECIFIC DEROGATION.PUBLIC INTEREST
72,0,0,0,0,TRANSFER OUTSIDE EUROPE.SPECIFIC DEROGATION.LEGAL CLAIMS
73,0,0,0,0,TRANSFER OUTSIDE EUROPE.SPECIFIC DEROGATION.VITAL INTEREST
74,0,0,0,0,TRANSFER OUTSIDE EUROPE.SPECIFIC DEROGATION.LEGITIMATE INTEREST
75,0.018887723,0.947368421,0.037037037,95,TRANSFER OUTSIDE EUROPE.SAFEGUARDS
76,0,0,0,0,TRANSFER OUTSIDE EUROPE.SAFEGUARDS.LEGAL INSTRUMENT
77,0,0,0,2,TRANSFER OUTSIDE EUROPE.SAFEGUARDS.BINDING CORPORATE
78,0,0,0,4,TRANSFER OUTSIDE EUROPE.SAFEGUARDS.EU MODEL CLAUSES
79,0,0,0,0,TRANSFER OUTSIDE EUROPE.SAFEGUARDS.CODE OF CONDUCT
80,0,0,0,0,TRANSFER OUTSIDE EUROPE.SAFEGUARDS.CERTIFICATION MECHANISM
81,0.003147954,0.75,0.006269592,22,TRANSFER OUTSIDE EUROPE.ADEQUACY DECISION
82,0,0,0,0,TRANSFER OUTSIDE EUROPE.ADEQUACY DECISION.TERRITORY
83,0,0,0,0,TRANSFER OUTSIDE EUROPE.ADEQUACY DECISION.SECTOR
84,0,0,0,0,TRANSFER OUTSIDE EUROPE.ADEQUACY DECISION.COUNTRY
85,0.016931217,0.888888889,0.033229491,160,CHILDREN
86,0.028717949,0.875,0.055610725,157,PD STORAGE DETAILS
87,0.027282267,0.8125,0.052791878,208,PD STORAGE DETAILS.TIME
88,0.005202914,1,0.010351967,61,PD STORAGE DETAILS.LOCATION
89,0.018848168,0.947368421,0.036960986,106,PD STORAGE DETAILS.DISPOSAL METHOD
90,0.037228542,0.9,0.071499503,332,DATA SHARING
91,0.085921325,0.912087912,0.15704825,689,DATA SHARING.RECIPIENT
92,0.095238095,0.910891089,0.172446111,709,DATA SHARING.CONDITION
93,0,0,0,3,NON-GDPR
94,0.01659751,0.888888889,0.032586558,292,NON-GDPR.COOKIE
95,0.026315789,0.892857143,0.051124744,337,NON-GDPR.OTHER LEGISLATION
